datetime,open,high,low,close_price,volume,SMA_10,RSI_14,MACD,MACD_signal
2025-01-20 12:00:00,3.3196,3.3308,3.2781,3.3263,24113000.0,3.19512,66.50794458869908,0.034661159690362986,0.0024869010949804607
2025-01-20 13:00:00,3.3262,3.353,3.2076,3.2495,54928268.0,3.21139,57.332356687283806,0.03579234595547298,0.009147990067078966
2025-01-20 14:00:00,3.2496,3.3056,3.241,3.2939,23361493.0,3.22945,60.70738728827502,0.03981259336026843,0.01528091072571686
2025-01-20 15:00:00,3.294,3.3555,3.263,3.3538,31895912.0,3.2546099999999996,64.75756017088707,0.04728700265621688,0.021682129111816866
2025-01-20 16:00:00,3.3538,3.3695,3.2599,3.2719,45442658.0,3.2711300000000003,56.22406992114301,0.04607080478089154,0.026559864245631802
2025-01-20 17:00:00,3.2719,3.3216,3.2252,3.3123,34630014.0,3.2850200000000003,59.088041080048285,0.047815711804145344,0.030811033757334516
2025-01-20 18:00:00,3.3123,3.3155,3.0,3.1351,123889918.0,3.27843,45.13880679232853,0.03450228326904048,0.03154928365967571
2025-01-20 19:00:00,3.1352,3.2045,3.1202,3.1899,29875880.0,3.2707500000000005,49.13777247298423,0.02804985597493781,0.03084939812272813
2025-01-20 20:00:00,3.1899,3.1955,3.1307,3.1519,20142549.0,3.2604299999999995,46.601089356362266,0.019643539935684018,0.02860822648531931
2025-01-20 21:00:00,3.1519,3.1664,3.0915,3.1548,18775292.0,3.24394,46.82669165492063,0.013064875917058405,0.02549955637166713
2025-01-20 22:00:00,3.1547,3.1792,3.0641,3.0762,16108485.0,3.2189300000000003,41.68611566404378,0.001491679025918291,0.020697980902517364
2025-01-20 23:00:00,3.0761,3.1599,3.0269,3.1445,26261571.0,3.20843,47.1186636424742,-0.0021442066184325093,0.01612954339832739
2025-01-21 00:00:00,3.1445,3.153,3.0828,3.1053,16210875.0,3.18957,44.55322969116969,-0.008095465096275234,0.011284541699406866
2025-01-21 01:00:00,3.1053,3.161,3.0738,3.1338,23867312.0,3.16757,46.82026116601501,-0.010392371708872972,0.006949159017750898
2025-01-21 02:00:00,3.1339,3.193,3.084,3.0936,25896002.0,3.14974,44.08239417566571,-0.015280348437159752,0.0025032575267687684
2025-01-21 03:00:00,3.0936,3.1353,3.0636,3.1231,20832143.0,3.13082,46.552342329324354,-0.016582548455764456,-0.0013139036697378766
2025-01-21 04:00:00,3.1231,3.14,3.09,3.1035,11806491.0,3.1276599999999997,45.126123915841575,-0.018977348487939416,-0.004846592633378185
2025-01-21 05:00:00,3.1035,3.1035,3.0419,3.0873,20487544.0,3.1174,43.928193822982855,-0.021929657932088453,-0.00826320569312024
2025-01-21 06:00:00,3.0873,3.103,3.0257,3.0382,14980891.0,3.1060299999999996,40.42544190022121,-0.027909619372010308,-0.012192488428898253
2025-01-21 07:00:00,3.0382,3.0836,3.0124,3.0504,20771579.0,3.0955899999999996,41.6700164309366,-0.03130349663266685,-0.016014690069651973
2025-01-21 08:00:00,3.0504,3.0944,3.0368,3.0695,12729818.0,3.09492,43.65463255276721,-0.03208213555047257,-0.019228179165816095
2025-01-21 09:00:00,3.0695,3.0954,3.0448,3.0786,13041212.0,3.08833,44.62139414346038,-0.03160064597837797,-0.02170267252832847
2025-01-21 10:00:00,3.0785,3.1136,3.0622,3.0972,12857960.0,3.08752,46.636785493701936,-0.029379528553194145,-0.023238043733301607
2025-01-21 11:00:00,3.0973,3.1164,3.0817,3.1069,10915572.0,3.0848299999999997,47.70563301815029,-0.026530738222315886,-0.023896582631104463
2025-01-21 12:00:00,3.1068,3.123,3.0822,3.1112,17134052.0,3.08659,48.200942944387926,-0.023653415447726367,-0.023847949194428845
2025-01-21 13:00:00,3.1112,3.1539,3.1034,3.1302,17929510.0,3.0873,50.43486611947076,-0.019613878624925363,-0.02300113508052815
2025-01-21 14:00:00,3.1301,3.15,3.1135,3.1359,11111552.0,3.09054,51.115979226452716,-0.015770778508771954,-0.021555063766176913
2025-01-21 15:00:00,3.1359,3.1499,3.0906,3.1026,17392009.0,3.09207,47.04834953994347,-0.01523648891909346,-0.02029134879676022
2025-01-21 16:00:00,3.1026,3.1335,3.0784,3.1217,11411709.0,3.10042,49.529189885270625,-0.013120604039213113,-0.0188571998452508
2025-01-21 17:00:00,3.1216,3.1899,3.1181,3.1744,30213619.0,3.11282,55.69679289987311,-0.007109348318062203,-0.016507629539813082
2025-01-21 18:00:00,3.1744,3.2312,3.1681,3.2249,15832446.0,3.12836,60.658108140756816,0.0017098332106804115,-0.012864136989714383
2025-01-21 19:00:00,3.2249,3.246,3.1994,3.2096,18615623.0,3.1414599999999995,58.519900048743644,0.007379450269260346,-0.008815419537919438
2025-01-21 20:00:00,3.2095,3.2106,3.1765,3.2008,12014586.0,3.15182,57.26946776025592,0.01103536733488042,-0.004845262163359467
2025-01-21 21:00:00,3.2008,3.2029,3.1779,3.198,8520295.0,3.16093,56.85320115690656,0.01355056882691974,-0.0011660959653036255
2025-01-21 22:00:00,3.1983,3.2009,3.1713,3.1837,10413215.0,3.1681800000000004,54.667744161131054,0.0142260051089802,0.0019123242495531398
2025-01-21 23:00:00,3.1837,3.188,3.1622,3.1706,7347230.0,3.17222,52.67030696432827,0.013548059117899136,0.00423947122322234
2025-01-22 00:00:00,3.1705,3.1739,3.1399,3.1738,10301132.0,3.1760099999999998,53.120900140006846,0.013117781670552109,0.006015133312688294
2025-01-22 01:00:00,3.1739,3.2,3.1643,3.1959,11706992.0,3.18534,56.22078705259659,0.014394142283934652,0.007690935106937566
2025-01-22 02:00:00,3.1958,3.2076,3.1813,3.1931,7969019.0,3.1924799999999998,55.71808207408087,0.015006742282637209,0.009154096542077494
2025-01-22 03:00:00,3.1931,3.1966,3.1735,3.1903,5003348.0,3.19407,55.1866654914565,0.01509232071714628,0.010341741377091252
2025-01-22 04:00:00,3.1903,3.191,3.1672,3.1768,4275154.0,3.18926,52.58265988418583,0.013910454012363793,0.011055483904145761
2025-01-22 05:00:00,3.1768,3.1809,3.1489,3.1646,10254078.0,3.18476,50.27398988042304,0.01185274700420269,0.011214936524157147
2025-01-22 06:00:00,3.1647,3.1797,3.16,3.1606,5464669.0,3.18074,49.506510930126375,0.009786421034797765,0.010929233426285271
2025-01-22 07:00:00,3.1605,3.1899,3.1565,3.1669,8469172.0,3.1776299999999997,50.780957182480776,0.008558542613927411,0.0104550952638137
2025-01-22 08:00:00,3.1669,3.1777,3.1524,3.171,7616370.0,3.17636,51.63648085004162,0.007826061884026903,0.00992928858785634
2025-01-22 09:00:00,3.171,3.1737,3.1414,3.171,8358579.0,3.1764,51.63648085004162,0.0071629950798706155,0.009376029886259196
2025-01-22 10:00:00,3.171,3.1753,3.1594,3.1694,4744745.0,3.1759600000000003,51.23343188909079,0.006434233394792432,0.008787670587965844
2025-01-22 11:00:00,3.1695,3.1698,3.1496,3.1654,7246262.0,3.17291,50.17893024788599,0.005470853346428495,0.008124307139658374
2025-01-22 12:00:00,3.1654,3.2348,3.1616,3.2348,15203830.0,3.17708,64.01699603560937,0.01018990483735216,0.008537426679197132
2025-01-22 13:00:00,3.2348,3.2606,3.224,3.2263,20112289.0,3.18068,61.754564003342594,0.013092980451752556,0.009448537433708217
2025-01-22 14:00:00,3.2262,3.2282,3.1656,3.1796,16124837.0,3.1809600000000002,51.07463918886039,0.011492906013442106,0.009857411149654995
2025-01-22 15:00:00,3.1796,3.2003,3.1577,3.1759,12211341.0,3.18209,50.33194103993047,0.009813156456208283,0.009848560210965654
2025-01-22 16:00:00,3.1759,3.1948,3.1528,3.1627,10352357.0,3.1823,47.668776904595354,0.007332291060014207,0.009345306380775364
2025-01-22 17:00:00,3.1628,3.17,3.142,3.1661,8305949.0,3.18222,48.42574381734452,0.0055762592987798065,0.008591496964376253
2025-01-22 18:00:00,3.1661,3.1931,3.1621,3.1881,6192320.0,3.18393,53.14822768223265,0.005891889579308085,0.00805157548736262
2025-01-22 19:00:00,3.1881,3.1936,3.1237,3.142,7677181.0,3.1810300000000002,44.04670834363563,0.002394541342350287,0.006920168658360154
2025-01-22 20:00:00,3.142,3.2661,3.142,3.2242,40124721.0,3.1865099999999997,57.89303622728713,0.006184430429152066,0.006773021012518537
2025-01-22 21:00:00,3.2242,3.2854,3.209,3.2189,36213733.0,3.19186,56.91506751284172,0.008660446888279605,0.007150506187670751
2025-01-22 22:00:00,3.2189,3.2252,3.1658,3.17,18534529.0,3.18538,48.73499370885985,0.006600796571205159,0.0070405642643776335
2025-01-22 23:00:00,3.17,3.1958,3.1537,3.1656,12448742.0,3.17931,48.06558296027645,0.004560890521403849,0.006544629515782876
2025-01-23 00:00:00,3.1656,3.1805,3.1514,3.1803,7151057.0,3.17938,50.5113050712516,0.00408334714311076,0.006052373041248454
2025-01-23 01:00:00,3.1802,3.1826,3.1606,3.1641,5681257.0,3.1782,47.83765774937791,0.0023703619077743987,0.005315970814553643
2025-01-23 02:00:00,3.1641,3.175,3.1428,3.1525,8552478.0,3.17718,45.96163268906716,7.591066176670935e-05,0.0042679587839962565
2025-01-23 03:00:00,3.1525,3.1555,3.1157,3.1475,15615354.0,3.17532,45.139908445125634,-0.002121461803473501,0.002990074666502305
2025-01-23 04:00:00,3.1476,3.1697,3.1394,3.1521,10619515.0,3.1717199999999997,46.094756301150454,-0.0034519221474251793,0.0017016753037168081
2025-01-23 05:00:00,3.1521,3.1554,3.1066,3.1141,11459969.0,3.16893,39.91434837163881,-0.007486306494994821,-0.00013592105602551756
2025-01-23 06:00:00,3.114,3.1431,3.114,3.1399,7069821.0,3.1605,45.27898774901179,-0.008503715240298693,-0.0018094798928801527
2025-01-23 07:00:00,3.1399,3.1481,3.1201,3.1226,7080426.0,3.15087,42.5365124920242,-0.010583978898411228,-0.003564379693986368
2025-01-23 08:00:00,3.1226,3.1326,3.1,3.1299,14004211.0,3.14686,44.075756829332434,-0.011510863771309499,-0.005153676509450995
2025-01-23 09:00:00,3.1298,3.132,3.0928,3.1016,12142726.0,3.14046,39.642481763611194,-0.01436342754612907,-0.00699562671678661
2025-01-23 10:00:00,3.1017,3.1196,3.0828,3.0927,10053809.0,3.1317,38.336533435277495,-0.017144627910490318,-0.009025426955527351
